year,month,unit,name,cause,acres,county,longitude,latitude
1913,10,Ventura County,RINCON CREEK,14 - Unknown / Unidentified,1759.6904296875,Ventura County,-119.44138050248816,34.42217210638992
1914,9,Modoc National Forest,JUNIPER SP.,1 - Lightning,12.507941246032715,Modoc County,-120.75853629879013,41.94039941567645
1914,8,Modoc National Forest,MT.BIDWELL2,9 - Miscellaneous,35.08163452148437,Modoc County,-120.17641254930098,41.93511520861586
1914,8,Modoc National Forest,MT.BIDWELL1,9 - Miscellaneous,19.085580825805664,Modoc County,-120.16302261901846,41.931581689047434
1914,9,Modoc National Forest,DRY CR. BASI,9 - Miscellaneous,1.1222517490386963,Modoc County,-120.31762258011051,41.503509800458666
1914,8,Six Rivers National Forest,IKES CREEK,8 - Playing with fire,3.983144044876098,Humboldt County,-123.48670870069617,41.36047096502585
1915,6,Angeles National Forest,CASTAIC,14 - Unknown / Unidentified,118.8506851196289,Los Angeles County,-118.60789998898485,34.52694612425189
1915,6,Los Angeles County,CASTAIC,14 - Unknown / Unidentified,413.9808044433594,Los Angeles County,-118.62549291181983,34.539142633458816
1915,8,Six Rivers National Forest,BOISE CREEK #4,5 - Debris,2.9873256683349614,Humboldt County,-123.50421035511192,41.24839783909147
1915,9,Six Rivers National Forest,WILSON CREEK #1,5 - Debris,2.9872636795043945,Humboldt County,-123.53597763270612,41.35195126376815
1915,8,Six Rivers National Forest,BOISE CREEK #1,5 - Debris,5.974541664123535,Humboldt County,-123.52451439583929,41.270704967527344
1915,8,Six Rivers National Forest,RED CAP PRAIRIE,5 - Debris,7.965884685516357,Humboldt County,-123.63911752489186,41.26485610003106
1915,8,Modoc National Forest,MT.BIDWELL,9 - Miscellaneous,8.413018226623535,Modoc County,-120.17462595031105,41.92997202731793
1915,8,Modoc National Forest,TICKNER RD#2,1 - Lightning,7.618490695953369,Modoc County,-121.1977273094165,41.62146959746771
1915,9,Six Rivers National Forest,WILSON CREEK #3,5 - Debris,4.978869438171387,Humboldt County,-123.53600001720652,41.350901760996216
1915,9,Six Rivers National Forest,LITTLE RED CAP,5 - Debris,88.09912872314453,Humboldt County,-123.609753768228,41.284935025169155
1915,8,Modoc National Forest,HOG LAKE 3,1 - Lightning,21.820831298828125,Modoc County,-121.03249451472892,41.549667438975675
1915,9,Six Rivers National Forest,WILSON CREEK #4,5 - Debris,9.957807540893556,Humboldt County,-123.5396947573703,41.35857702451006
1915,9,Six Rivers National Forest,WILDER GULCH,5 - Debris,39.8306999206543,Humboldt County,-123.5409127057374,41.33016566742885
1915,8,Modoc National Forest,CHALK HILL,1 - Lightning,313.905029296875,Modoc County,-121.37580977483714,41.517551754777756
1916,9,Los Angeles County,MINT CYN,14 - Unknown / Unidentified,36.08594512939453,Los Angeles County,-118.43454308563923,34.44251194430735
1916,7,Angeles National Forest,DUARTE,14 - Unknown / Unidentified,179.49850463867188,Los Angeles County,-117.950269551266,34.144620397732005
1916,8,Six Rivers National Forest,PEARCH CREEK,14 - Unknown / Unidentified,8.962044715881348,Humboldt County,-123.50893729688913,41.32475827231698
1916,8,Los Angeles County,SHEEP MT. FIRE,14 - Unknown / Unidentified,370.7310791015625,Los Angeles County,-117.72709211955808,34.29733523740999
1916,8,Six Rivers National Forest,SIMS GULCH,5 - Debris,206.1844024658203,Humboldt County,-123.55375713928913,41.31846068532907
1916,8,Six Rivers National Forest,WARD GULCH,5 - Debris,29.873332977294922,Humboldt County,-123.52842887399493,41.34463143861054
1916,8,Six Rivers National Forest,BAR RANCH GULCH #1,5 - Debris,24.89423370361328,Humboldt County,-123.54477415472023,41.2797222132164
1916,9,Six Rivers National Forest,WILDER CREEK #2,5 - Debris,4.978802680969238,Humboldt County,-123.57043283275264,41.37212483143093
1916,9,Six Rivers National Forest,SIMS GULCH #1,5 - Debris,99.57660675048828,Humboldt County,-123.5470275541098,41.3143597796156
1916,10,Six Rivers National Forest,MAUDDOX GULCH,14 - Unknown / Unidentified,5.974861145019531,Humboldt County,-123.4869195171147,41.35692106590321
1916,10,Six Rivers National Forest,ORCUTT FLAT,5 - Debris,2.9873251914978027,Humboldt County,-123.50546955278335,41.32574187553179
1916,9,Six Rivers National Forest,SIMS GULCH #2,5 - Debris,175.75299072265625,Humboldt County,-123.56368409055113,41.319989272713634
1916,8,Six Rivers National Forest,BAR RANCH GULCH #2,5 - Debris,4.978931903839111,Humboldt County,-123.54478806901615,41.280321161515616
1916,11,Los Angeles County,BUCKHORN,14 - Unknown / Unidentified,257.6088256835937,Los Angeles County,-117.91235924741041,34.354204941020804
1916,8,Six Rivers National Forest,CRAWFORD CREEK,5 - Debris,3.983140468597412,Humboldt County,-123.57121263435309,41.30842778078833
1916,6,Angeles National Forest,CHILAO,14 - Unknown / Unidentified,139.36347961425778,Los Angeles County,-118.00479147157247,34.32856364762229
1916,4,Angeles National Forest,LIME KILN CANYON,14 - Unknown / Unidentified,89.25016784667969,Los Angeles County,-118.39604092399817,34.326891207440106
1916,9,Angeles National Forest,TUNNEL,14 - Unknown / Unidentified,242.16888427734372,Los Angeles County,-118.50471950664944,34.34950216373486
1916,9,Eldorado National Forest,BEAR CK,9 - Miscellaneous,23.596782684326172,El Dorado County,-120.7777218074989,38.862652556912046
1916,6,Angeles National Forest,1916-SUPERVISOR#35,14 - Unknown / Unidentified,127.00326538085938,Los Angeles County,-118.41143405533596,34.290553776708215
1916,9,Angeles National Forest,SAND CANYON,14 - Unknown / Unidentified,471.8913879394531,Los Angeles County,-118.40826385603347,34.36299355336927
1916,10,Eldorado National Forest,NORTH BEAR CK #2,14 - Unknown / Unidentified,8.296114921569824,El Dorado County,-120.7816853077242,38.89460960201063
1916,9,Angeles National Forest,TUNNEL,14 - Unknown / Unidentified,3440.76806640625,Los Angeles County,-118.5169029730356,34.34654306380977
1916,7,Eldorado National Forest,BACCHI FIRE,9 - Miscellaneous,122.9487762451172,El Dorado County,-120.62709663388469,38.9186911504811
1916,8,Eldorado National Forest,GOLD CHANNEL,14 - Unknown / Unidentified,52.36610412597656,El Dorado County,-120.75461431338414,38.93733611403475
1917,10,Angeles National Forest,PLEASANT VIEW RIDGE (#96),14 - Unknown / Unidentified,127.81944274902344,Los Angeles County,-117.90627326747807,34.393818699160384
1917,6,Eldorado National Forest,DANAHER PUMP,14 - Unknown / Unidentified,9.426607131958008,El Dorado County,-120.55674407302456,38.879870842130224
1917,6,Modoc National Forest,BADGER SP.,1 - Lightning,114.263427734375,Modoc County,-121.07274787932457,41.652200744504135
1917,8,Eldorado National Forest,PILOT CK,14 - Unknown / Unidentified,52.99750900268555,El Dorado County,-120.58241457004091,38.89496007101353
1917,7,Eldorado National Forest,GRADE,14 - Unknown / Unidentified,37.54852294921875,El Dorado County,-120.56427983669195,38.857664798442826
1917,8,Eldorado National Forest,BUTCHER CORRAL #2,14 - Unknown / Unidentified,13.207764625549315,El Dorado County,-120.6288741029051,38.89867296999463
1917,10,Eldorado National Forest,PILOT CK,14 - Unknown / Unidentified,132.27299499511722,El Dorado County,-120.68806465457148,38.942300377814654
1917,10,Eldorado National Forest,SECTION 28,9 - Miscellaneous,1698.177490234375,El Dorado County,-120.8366097192264,38.944522102586774
1917,9,Eldorado National Forest,KENTUCKY  FLAT,14 - Unknown / Unidentified,13.231913566589355,El Dorado County,-120.73170789629637,38.96267364848464
1917,8,Eldorado National Forest,STONEY CK,14 - Unknown / Unidentified,39.40347290039063,El Dorado County,-120.39390559385286,38.955483613758375
1917,9,Eldorado National Forest,KYBURZ,14 - Unknown / Unidentified,58.64908981323242,El Dorado County,-120.29742038712202,38.781965290197064
1917,10,Eldorado National Forest,RUBICON,14 - Unknown / Unidentified,262.39096069335943,El Dorado County,-120.47100225269249,38.912606178605685
1917,9,Eldorado National Forest,SLATE MT,14 - Unknown / Unidentified,482.6498107910156,El Dorado County,-120.68362923744483,38.83865469272924
1917,8,Six Rivers National Forest,ULLATHORNE,5 - Debris,787.7327270507812,Humboldt County,-123.60932715170809,41.30572187766279
1917,8,Six Rivers National Forest,MARINE ROCK,14 - Unknown / Unidentified,117.7646255493164,Humboldt County,-123.7166092394022,41.22272813321332
1917,8,Six Rivers National Forest,BOISE CREEK,14 - Unknown / Unidentified,1221.4154052734375,Humboldt County,-123.55200701528877,41.26838722516649
1917,7,Six Rivers National Forest,RED CAP,1 - Lightning,1810.2061767578125,Humboldt County,-123.5578948127642,41.215982210164455
1917,7,Modoc National Forest,EAST CR.,1 - Lightning,22.99690246582031,Modoc County,-120.21286889968759,41.19692077625931
1917,7,Six Rivers National Forest,SOMES BAR,5 - Debris,69.70584106445311,Humboldt County,-123.48578135572693,41.37188309286132
1917,8,Six Rivers National Forest,DEER LICK,5 - Debris,218.770263671875,Humboldt County,-123.52984558748037,41.28555000846368
1917,7,Six Rivers National Forest,CRAWFORD CREEK,14 - Unknown / Unidentified,986.1268920898438,Humboldt County,-123.58073034698877,41.309404749402674
1917,8,Six Rivers National Forest,FERRIS GULCH,14 - Unknown / Unidentified,3.9830377101898193,Humboldt County,-123.52427391779041,41.285005891802406
1917,8,Six Rivers National Forest,CAMP CREEK #2,5 - Debris,1655.958251953125,Humboldt County,-123.58633693196848,41.343891193317205
1917,7,Modoc National Forest,MILL CR.,9 - Miscellaneous,53.21102523803711,Modoc County,-120.291317143075,41.267989019202695
1917,9,Los Angeles County,PALMER CYN,14 - Unknown / Unidentified,199.43475341796875,Los Angeles County,-117.71023431218399,34.16250538284344
1917,8,Six Rivers National Forest,PACKSADDLE,14 - Unknown / Unidentified,337.16326904296875,Humboldt County,-123.54240059588615,41.19225339949368
1917,9,Los Angeles County,HASTINGS RANCH,14 - Unknown / Unidentified,349.85552978515625,Los Angeles County,-117.9806849459904,34.1729247704748
1917,9,Six Rivers National Forest,SERPENTINE CAMP,5 - Debris,996.836181640625,Del Norte County,-123.71692506036442,41.381281239077346
1917,8,Six Rivers National Forest,CAMP CREEK #1,5 - Debris,5133.9423828125,Humboldt County,-123.63357182850751,41.33280882679232
1917,9,Eldorado National Forest,POVERTY CANYON,9 - Miscellaneous,67.53427124023439,El Dorado County,-120.75715044817491,38.80966321661894
1917,9,Modoc National Forest,WATKINS MILL,9 - Miscellaneous,1.8411390781402588,Modoc County,-120.32832672654942,41.787766456493394
1917,7,Los Angeles County,PLEASANT VIEW RIDGE,14 - Unknown / Unidentified,67.56476593017578,Los Angeles County,-117.88538479121873,34.35914427138997
1917,10,Eldorado National Forest,MILLER DIGGINS FIRE,14 - Unknown / Unidentified,287.29315185546875,Placer County,-120.82710866447347,38.98984228449613
1917,10,Eldorado National Forest,SECTION 28,9 - Miscellaneous,231.8539123535156,Placer County,-120.83710015756859,38.978780606806055
1917,9,Eldorado National Forest,MEEKS CK,9 - Miscellaneous,465.8543701171875,El Dorado County,-120.16215894347096,39.01792322475679
1917,10,Eldorado National Forest,BOTTLE HILL,1 - Lightning,1326.5787353515625,El Dorado County,-120.39553146986972,38.990127579663174
1917,8,Eldorado National Forest,COLD CK FIRE,1 - Lightning,992.2883911132812,Amador County,-120.22226786598765,38.494684999854826
1917,8,Eldorado National Forest,CHIPMUNK #2,1 - Lightning,243.96527099609372,El Dorado County,-120.37540546179972,38.96208594282599
1917,6,Los Padres National Forest,THATCHER,9 - Miscellaneous,29638.47265625,Ventura County,-119.29494232332992,34.47865316741779
1918,8,Six Rivers National Forest,IKES,5 - Debris,39.83224868774414,Humboldt County,-123.48442712958216,41.369920642714426
1918,8,Modoc National Forest,N.DAVIS CR.,9 - Miscellaneous,2.1549384593963623,Modoc County,-120.33908862345213,41.74753343916835
1918,6,Six Rivers National Forest,STONE CREEK,5 - Debris,119.48023986816406,Del Norte County,-123.95692540733302,41.88056448263818
1918,6,Modoc National Forest,BADGER SP.,1 - Lightning,227.4462738037109,Modoc County,-121.01767996331672,41.63079590945979
1918,10,Angeles National Forest,FISH CANYON,14 - Unknown / Unidentified,50.94083023071289,Los Angeles County,-117.91778623090396,34.154477258823775
1918,7,Six Rivers National Forest,RUER,5 - Debris,99.58023071289062,Siskiyou County,-123.46061849216358,41.320913458805755
1918,9,Modoc National Forest,MUD SPRING,1 - Lightning,22.906391143798828,Modoc County,-121.26814125485977,41.509438256104715
1918,6,Six Rivers National Forest,CAMP CREEK,1 - Lightning,3565.85400390625,Siskiyou County,-123.61825024356628,41.405265569604076
1918,6,Eldorado National Forest,BEAR RIVER FIRE,1 - Lightning,1747.7066650390625,Amador County,-120.3174321098724,38.47914683625492
1918,6,Six Rivers National Forest,RED CAP,1 - Lightning,483.3600158691406,Humboldt County,-123.46460950620134,41.124023693192505
1918,8,Six Rivers National Forest,MARINE ROCK,14 - Unknown / Unidentified,212.78013610839844,Humboldt County,-123.68710589890604,41.22837975149537
1918,6,Six Rivers National Forest,MYRTLE CREEK,5 - Debris,1050.864501953125,Del Norte County,-124.09169890207993,41.8889001588038
1918,10,Angeles National Forest,COREY CANYON,14 - Unknown / Unidentified,231.82406616210938,Los Angeles County,-118.33832351938116,34.279720090911304
1918,6,Eldorado National Forest,WILD CAT,1 - Lightning,386.8414306640625,Placer County,-120.50138206628344,38.999366987732614
1918,8,Eldorado National Forest,NORTH WALLACE CANON,14 - Unknown / Unidentified,9.015557289123537,Placer County,-120.49597899148527,39.020981418203355
1918,6,Eldorado National Forest,BULL CK,1 - Lightning,51.05317306518555,Amador County,-120.32054572817064,38.50584986291511
1918,6,Modoc National Forest,MILL CREEK,1 - Lightning,261.25039672851557,Modoc County,-120.24505284274832,41.64107917246977
1918,7,Angeles National Forest,PACOIMA CANYON,14 - Unknown / Unidentified,160.00625610351562,Los Angeles County,-118.40548327908184,34.31205111834104
1918,6,Six Rivers National Forest,PACKSADDLE RIDGE,1 - Lightning,93.11016082763672,Humboldt County,-123.56021764614073,41.18030414038724
1918,6,Eldorado National Forest,ORELLI FIRE,14 - Unknown / Unidentified,8.340621948242188,El Dorado County,-120.40722525436392,38.738611667026944
1918,4,Eldorado National Forest,IOWA CANYON,14 - Unknown / Unidentified,12.507118225097654,El Dorado County,-120.70479778214323,38.92998899974793
1918,9,Eldorado National Forest,CIDER CK,14 - Unknown / Unidentified,128.10746765136722,El Dorado County,-120.50680774833296,38.84660137259449
1919,9,Eldorado National Forest,WEST SHERMAN CK,14 - Unknown / Unidentified,681.1448974609375,Amador County,-120.26689000966064,38.52124890834657
1919,8,Eldorado National Forest,SILVER HILL,14 - Unknown / Unidentified,368.1839599609375,El Dorado County,-120.50534755448635,38.55646372691321
1919,10,Los Angeles County,RAVENNA,14 - Unknown / Unidentified,71373.1484375,Los Angeles County,-118.30164054892631,34.35603438542367
1919,9,Eldorado National Forest,GRIZZLY FLAT,14 - Unknown / Unidentified,232.22579956054688,El Dorado County,-120.51665955897808,38.649707154482066
1919,9,Eldorado National Forest,WEST SHERMAN CK,14 - Unknown / Unidentified,33.494140625,El Dorado County,-120.25208542377581,38.733265621506796
1919,7,Eldorado National Forest,SILVER CK,14 - Unknown / Unidentified,26.856971740722656,El Dorado County,-120.59362635878857,38.792437880330844
1919,7,Eldorado National Forest,OLD PINO #1,14 - Unknown / Unidentified,27.556900024414066,El Dorado County,-120.65643697680277,38.80818938270504
1919,9,Eldorado National Forest,SAND MT,9 - Miscellaneous,1873.9969482421875,El Dorado County,-120.6508016405355,38.85994449241256
1919,8,Eldorado National Forest,FASHODA,9 - Miscellaneous,58.65999221801758,El Dorado County,-120.37119467289476,38.865868788221256
1919,9,Eldorado National Forest,MEEKS CK,1 - Lightning,37.417964935302734,El Dorado County,-120.13715356614945,39.01232674243949
1919,6,Los Angeles County,MT. HAWKINS FIRE,14 - Unknown / Unidentified,262.53762817382807,Los Angeles County,-117.824791584103,34.354862702001206
1919,9,Los Angeles County,SAN GABRIEL,14 - Unknown / Unidentified,54609.7734375,Los Angeles County,-117.79879950683404,34.243347943167905
1919,7,Six Rivers National Forest,OAK FLAT,8 - Playing with fire,6.970139026641847,Humboldt County,-123.64654066631536,41.264954264254285
1919,8,Six Rivers National Forest,PEARCH CREEK,9 - Miscellaneous,6.970716953277588,Humboldt County,-123.50919160570088,41.308291053261044
1919,7,Six Rivers National Forest,SHELLY CREEK,5 - Debris,11.948591232299805,Del Norte County,-123.80196636886555,41.93992496165328
1919,6,Six Rivers National Forest,MONKEY CREEK,5 - Debris,44.80760192871094,Del Norte County,-123.78376405300959,41.95445861505228
1919,5,Six Rivers National Forest,21 MILE POST,5 - Debris,29.87082862854004,Del Norte County,-123.89784421354123,41.864891280143546
1919,5,Modoc National Forest,HACKAMORE,1 - Lightning,32.951377868652344,Modoc County,-121.13757337668714,41.60098580481826
1919,7,Modoc National Forest,CROWDER FL.,1 - Lightning,15.004837036132812,Modoc County,-120.74673676467674,41.90735366607176
1919,8,Angeles National Forest,LYTLE CREEK (#88),14 - Unknown / Unidentified,105.05982208251952,Los Angeles County,-117.61311067336102,34.33090106026358
1919,1,Eldorado National Forest,MOSQUITO RS,14 - Unknown / Unidentified,10.473138809204102,El Dorado County,-120.78798812827092,38.94201531651012
1919,8,Eldorado National Forest,ZEPHRE COVE,14 - Unknown / Unidentified,13.09100341796875,El Dorado County,-120.46808025071412,38.8950720460588
1919,9,Angeles National Forest,RAVENNA,14 - Unknown / Unidentified,576.9879760742188,Los Angeles County,-118.2551556071193,34.361330250364105
1919,9,Angeles National Forest,NEWHALL SAND CANYON,14 - Unknown / Unidentified,360.8960571289063,Los Angeles County,-118.38440921427186,34.357823882677806
1919,8,Angeles National Forest,SAN FERNANDO OIL CO.,14 - Unknown / Unidentified,162.02777099609375,Los Angeles County,-118.39428706542529,34.28532315969604
1919,7,Angeles National Forest,HANSEN CANYON,14 - Unknown / Unidentified,46.95039367675781,Los Angeles County,-118.472739553234,34.329512724493796
1920,7,Eldorado National Forest,GRANLEES,14 - Unknown / Unidentified,9.19903564453125,El Dorado County,-120.37772155024064,38.88236065389416
1920,5,Modoc National Forest,TIMBERED MT.,9 - Miscellaneous,14.31320571899414,Modoc County,-121.24478103825352,41.68641069110257
1920,7,Modoc National Forest,GLASS MT.,1 - Lightning,14.22044277191162,Siskiyou County,-121.46207598887295,41.57170098583899
1920,7,Modoc National Forest,ROSS CREEK,1 - Lightning,1.9434330463409424,Modoc County,-120.33047047057865,41.79008819788859
1920,5,Eldorado National Forest,BRYANTS MILL,14 - Unknown / Unidentified,8.395687103271483,El Dorado County,-120.49545932760785,38.71843519442279
1920,5,Eldorado National Forest,BRYANTS MILL,9 - Miscellaneous,1664.614990234375,El Dorado County,-120.56363283963793,38.90441527005602
1920,7,Eldorado National Forest,AMERICAN RIVER,14 - Unknown / Unidentified,366.45404052734375,El Dorado County,-120.55204044869042,38.841975518819424
1920,8,Eldorado National Forest,TWIN GULCH,14 - Unknown / Unidentified,88.73080444335938,El Dorado County,-120.39234499463758,38.578467893880955
1920,8,Eldorado National Forest,DARK CANYON,1 - Lightning,8.228898048400879,El Dorado County,-120.26374965734188,38.84934240499873
1920,8,Six Rivers National Forest,HARDSCABBLE,5 - Debris,199.13323974609372,Del Norte County,-124.01005680115942,41.893099108364154
1920,7,Eldorado National Forest,HARTWICK,9 - Miscellaneous,177.62069702148438,El Dorado County,-120.66016121522648,38.75480163629114
1920,7,Eldorado National Forest,AMERICAN RIVER,1 - Lightning,172.78677368164062,El Dorado County,-120.70040413021108,38.769019742035816
1920,7,Eldorado National Forest,TRESSEL  #26,14 - Unknown / Unidentified,16.267675399780273,El Dorado County,-120.64232774244029,38.862882131471245
1920,8,Eldorado National Forest,PILOT CK #2,14 - Unknown / Unidentified,13.928253173828125,El Dorado County,-120.5549401183724,38.90443514183343
1920,8,Modoc National Forest,CUPPY GULCH,1 - Lightning,70.39720153808594,Modoc County,-121.0397659411647,41.40422688519384
1921,9,Los Angeles County,CHARLIE CYN,14 - Unknown / Unidentified,4581.23876953125,Los Angeles County,-118.55978856688446,34.51400759179449
1921,10,Eldorado National Forest,PENNSYLVANIA,9 - Miscellaneous,273.43154907226557,Placer County,-120.70609508330536,38.9986063684591
1921,10,Eldorado National Forest,SLATE CK,14 - Unknown / Unidentified,3.9015080928802486,El Dorado County,-120.81837776780071,38.87416564016832
1921,10,Los Angeles County,RAVENNA FIRE,14 - Unknown / Unidentified,207.82334899902344,Los Angeles County,-118.22563000144831,34.434621351994274
1921,9,Eldorado National Forest,LOGGING CAMP,9 - Miscellaneous,3.6752564907073975,El Dorado County,-120.38000310556852,38.592874414258866
1921,8,Modoc National Forest,CEDAR PASS,9 - Miscellaneous,271.03890991210943,Modoc County,-120.28243005472687,41.558427138364586
1921,7,Sequoia - Kings Canyon NP,ELK CREEK,4 - Campfire,1551.466796875,Tulare County,-118.81890333379576,36.52951829030616
1921,9,Eldorado National Forest,DARK CANYON #5,9 - Miscellaneous,3.6721251010894775,El Dorado County,-120.82530557326308,38.92257501387541
1921,9,Angeles National Forest, CHARLIE CYN,14 - Unknown / Unidentified,5324.173828125,Los Angeles County,-118.58313165904389,34.48201456002088
1921,8,Angeles National Forest, RUBY CYN,14 - Unknown / Unidentified,9048.349609375,Los Angeles County,-118.4961479965949,34.61077880182776
1921,8,Los Angeles County,RUBY CYN,14 - Unknown / Unidentified,1000.5474243164062,Los Angeles County,-118.52745107505736,34.594866474872326
1922,9,Sequoia - Kings Canyon NP,PANTHER,1 - Lightning,535.8748168945311,Tulare County,-118.71406650050908,36.574456862404254
1922,8,Sequoia - Kings Canyon NP,HOSPITAL,4 - Campfire,667.1011352539062,Tulare County,-118.76267697073568,36.5316084691647
1922,8,Eldorado National Forest,RUBICON CANYON,9 - Miscellaneous,29.72109031677246,El Dorado County,-120.17440572553956,39.022609150729615
1922,9,Modoc National Forest,FANDANGO PK,9 - Miscellaneous,257.4725952148437,Modoc County,-120.24398750045064,41.861792107561534
1922,6,Eldorado National Forest,WHISKEY CANYON,14 - Unknown / Unidentified,8.686160087585451,El Dorado County,-120.4564305707456,38.76426333117091
1922,8,Six Rivers National Forest,ROUND PRAIRE,5 - Debris,79.65840148925781,Humboldt County,-123.74502303402431,41.316423496210106
1922,8,Klamath National Forest,BUMBLEBEE,7 - Arson,3.907541513442993,Siskiyou County,-122.75201915846245,41.947609303343285
1922,9,Six Rivers National Forest,MINER CREEK,5 - Debris,2288.692138671875,Humboldt County,-123.75570633113793,41.29530659716203
1922,7,Los Angeles County,SOLEDAD,14 - Unknown / Unidentified,409.9058532714844,Los Angeles County,-118.27302154939684,34.43262238748261
1922,8,Six Rivers National Forest,PEARCH CREEK,5 - Debris,274.30996704101557,Humboldt County,-123.497192349345,41.30437521810721
1922,7,Los Angeles County,PLEASANT VIEW,14 - Unknown / Unidentified,72.22212982177734,Los Angeles County,-117.85281973172354,34.366581594505966
1922,8,Eldorado National Forest,LEONI FIRE,9 - Miscellaneous,35.72943115234375,El Dorado County,-120.49656937283665,38.599260135391006
